origin,job_original,populations_original,origin_DA_id,original_acc,job_increase_40,populations_increase_40,job_increase_240,populations_increase_240,job_increase_80,populations_increase_80,job_increase_120,populations_increase_120,job_increase_160,populations_increase_160,job_increase_200,populations_increase_200,job_increase_280,populations_increase_280,job_increase_320,populations_increase_320,job_increase_360,populations_increase_360,job_increase_400,populations_increase_400,job_increase_440,populations_increase_440,job_increase_480,populations_increase_480
13465701,125585.0,239835.0,35204097,125585.0,1335.0,4285.0,10185.0,36647.0,4695.0,22503.0,6155.0,26499.0,7420.0,33815.0,7785.0,30598.0,31675.0,55268.0,33120.0,64148.0,20040.0,73993.0,21345.0,85580.0,32590.0,79661.0,38460.0,97214.0
13457509,220540.0,271616.0,35202678,220540.0,855.0,2761.0,30700.0,74906.0,9105.0,16619.0,21725.0,60435.0,14990.0,22122.0,26630.0,65016.0,26040.0,66035.0,28200.0,67950.0,31680.0,76157.0,31675.0,78086.0,28625.0,49404.0,39030.0,93511.0
13457516,237805.0,292871.0,35202676,237805.0,1505.0,4369.0,36565.0,70211.0,12820.0,23602.0,23545.0,59447.0,17720.0,25872.0,27150.0,59461.0,26595.0,62059.0,28755.0,63643.0,37545.0,71462.0,37580.0,71373.0,34610.0,54903.0,43665.0,87435.0
13457519,930.0,6326.0,35203260,930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30062703,450180.0,388846.0,35202928,450180.0,38820.0,19697.0,60530.0,76556.0,42940.0,38109.0,55425.0,70120.0,52185.0,44345.0,65410.0,74983.0,64315.0,76653.0,67105.0,79565.0,67155.0,81913.0,66070.0,81987.0,76350.0,93683.0,78180.0,118684.0
13465713,56215.0,191473.0,35201294,56215.0,0.0,0.0,5780.0,10780.0,3245.0,4931.0,3415.0,5653.0,4340.0,8870.0,4435.0,23314.0,12800.0,18208.0,15805.0,48744.0,19310.0,70268.0,19785.0,72266.0,16440.0,47095.0,22460.0,79566.0
13449337,365.0,3361.0,35203573,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13457531,80410.0,172339.0,35204074,80410.0,0.0,0.0,760.0,3427.0,0.0,0.0,645.0,2818.0,0.0,1842.0,17220.0,71386.0,760.0,3427.0,760.0,3427.0,760.0,3427.0,760.0,3427.0,16020.0,68486.0,760.0,3427.0
20035706,358940.0,317944.0,35204626,358940.0,62030.0,84626.0,94505.0,163191.0,89495.0,125406.0,98170.0,135784.0,98870.0,133019.0,102680.0,166505.0,91460.0,161280.0,96315.0,178025.0,98075.0,183184.0,98630.0,186467.0,125155.0,211960.0,104400.0,201283.0
14022783,135225.0,258975.0,35200695,135225.0,0.0,0.0,36465.0,40967.0,4390.0,7695.0,6515.0,17515.0,9350.0,21623.0,12660.0,31010.0,34425.0,37212.0,38490.0,43048.0,48820.0,49928.0,16725.0,45930.0,36770.0,39661.0,18670.0,48244.0
13457539,142975.0,226148.0,35202938,142975.0,8260.0,16717.0,21770.0,42871.0,11770.0,29342.0,15300.0,35185.0,16785.0,30702.0,19870.0,40646.0,21770.0,42871.0,23930.0,44455.0,22515.0,43439.0,22035.0,43448.0,40435.0,83044.0,36595.0,96635.0
13449354,1565.0,17313.0,35202005,1565.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14047373,191520.0,253141.0,35204388,191520.0,2555.0,7120.0,17185.0,35681.0,9150.0,22772.0,11755.0,26300.0,13140.0,25730.0,15045.0,28967.0,13760.0,30324.0,15920.0,31908.0,18165.0,36932.0,18485.0,37117.0,34460.0,68560.0,33720.0,87637.0
